caption,commentable,comment_count,created_at,description,downloadable,download_count,duration,full_duration,embeddable_by,genre,has_downloads_left,id,kind,label_name,last_modified,license,likes_count,permalink,permalink_url,playback_count,public,purchase_title,purchase_url,release_date,reposts_count,secret_token,sharing,state,streamable,tag_list,title,track_format,uri,urn,user_id,visuals,waveform_url,display_date,station_urn,station_permalink,track_authorization,monetization_model,policy
,True,245,2021-07-28T09:40:00Z,"luyện tập và vui chơi vứi âm nhạc thuiii
mỹ anh hát hay we đậu mé
link challenge https://www.tiktok.com/music/Real-Love-Duet-Challenge-6989222211471461121?lang=vi-VN&is_copy_url=1&is_from_webapp=v1",False,1,53760,53760,all,R&B & Soul,False,1095550030,track,,2021-10-14T09:12:55Z,cc-by-nc-sa,6740.0,my-anh-challenge,https://soundcloud.com/hoanglongnger/my-anh-challenge,355912,True,,,,246,,public,finished,True,,Mỹ Anh challenge,single-track,https://api.soundcloud.com/tracks/1095550030,soundcloud:tracks:1095550030,142223467,,https://wave.sndcdn.com/KqZwWajSRmiz_m.json,2021-07-28T09:40:00Z,soundcloud:system-playlists:track-stations:1095550030,track-stations:1095550030,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6ImRmY2U1NTI3LWNmNzUtNDNlMy04OWRiLTNmYjlhYzQxN2QyYiIsImlhdCI6MTYzNDgyODA2OH0.1BqfgGgj5pG4Ul8EsYgL-YuB7TI-e9sTmmUEWodwR4E,NOT_APPLICABLE,ALLOW
,True,1,2017-10-31T04:48:20Z,A cover of Sun Rai's San Francisco Street,False,0,170072,170072,all,R&B & Soul,False,349398703,track,,2017-10-31T04:48:31Z,all-rights-reserved,38.0,san-francisco-street,https://soundcloud.com/nguyenjustin/san-francisco-street,5597,True,,,,0,,public,finished,True,,San Francisco Street,single-track,https://api.soundcloud.com/tracks/349398703,soundcloud:tracks:349398703,118366740,,https://wave.sndcdn.com/Nw8571qtjvad_m.json,2017-10-31T04:48:20Z,soundcloud:system-playlists:track-stations:349398703,track-stations:349398703,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjIzYjhmNWMzLTgwMDMtNGI0MC04ZjU4LTZlYzk3MzNkOWYwMiIsImlhdCI6MTYzNDgyODA2OH0._U-etr7RNu7c1qYQhdWpyZhEYZsFelQB1WC3rXv-VBw,NOT_APPLICABLE,ALLOW
,True,18,2021-08-09T16:02:23Z,"Xin lỗi vì phá bài vì b Thuy An hát hay vl :<
Đeo tai nghe để nghe trải nghiệm hay hơn :v

Đây là kênh youtube của ban Thuy An : https://www.youtube.com/channel/UCdsUbNwMTR-pwzpyrJq4FcQ
 Mong các bạn ủng hộ !!

Facebook : https://www.facebook.com/ThuyAn130999
Insta: https://www.instagram.com/thuyan1309/",True,3,100807,100807,all,,True,1102945099,track,,2021-09-21T03:57:31Z,all-rights-reserved,92.0,3107-3-cover-by-mickey-thuy-an,https://soundcloud.com/mickeyxxxminnie/3107-3-cover-by-mickey-thuy-an,23985,True,,,,31,,public,finished,True,"""3107 3"" Cover ""3107 3 cover""",3107-3 ( Cover by Mickey & Thuy An ),single-track,https://api.soundcloud.com/tracks/1102945099,soundcloud:tracks:1102945099,233983367,,https://wave.sndcdn.com/qovnuUTNvOHJ_m.json,2021-08-09T16:02:23Z,soundcloud:system-playlists:track-stations:1102945099,track-stations:1102945099,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6ImI3ZTVjMTBmLWYwNTctNDNjMS04ZDZjLTMyMGIzYWNjMzlmNSIsImlhdCI6MTYzNDgyODA2OX0.Jc3t1_WZzeZiVtsDF_izgGhpU02vuHKUVF3eOCv3iHw,NOT_APPLICABLE,ALLOW
,True,1166,2021-08-01T13:57:10Z,,False,0,232856,232856,all,,False,1098129229,track,,2021-10-18T02:56:20Z,all-rights-reserved,47047.0,3107-3-lofi-wn-x-nau-x-duongg-x-titie-x-vux,https://soundcloud.com/vux0501/3107-3-lofi-wn-x-nau-x-duongg-x-titie-x-vux,4194884,True,,,,1711,,public,finished,True,"3107-3 (lofi) - W/n x Nâu Duongg Titie ""3107-3 lofi"" ""3107 lofi""",3107-3 (lofi ver. by VUX) - W/n x Nâu x Duongg x Titie,single-track,https://api.soundcloud.com/tracks/1098129229,soundcloud:tracks:1098129229,214108729,,https://wave.sndcdn.com/09TSNtuZbh3o_m.json,2021-08-01T13:57:10Z,soundcloud:system-playlists:track-stations:1098129229,track-stations:1098129229,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6ImJhOTg1OWJmLTY0OGUtNDM3NS05N2RjLTcyNTc4NzFkMDgyZSIsImlhdCI6MTYzNDgyODA2OX0.6szsjnABPC8EUz7pD0LJ_ysYfRlPQvQfFqx3rM9cRF8,NOT_APPLICABLE,ALLOW
,True,908,2018-06-05T01:30:10Z,"a live cover with Tim

Follow me: https://www.facebook.com/ronniboiofficial

*update(18/7/19): Sau khi nhận nhiều feedback về phần rap nên mình đã edit lại bản này cắt rap ra, ghép verse hát đầu thành 2 lần.",True,846,253698,253698,all,Pop,True,453875256,track,,2021-10-14T16:15:35Z,all-rights-reserved,35907.0,khi-co-don-em-nho-ai,https://soundcloud.com/ronniboi/khi-co-don-em-nho-ai,8604662,True,,,,1119,,public,finished,True,vietpop viet ronniboi,Khi co don em nho ai,single-track,https://api.soundcloud.com/tracks/453875256,soundcloud:tracks:453875256,9423936,,https://wave.sndcdn.com/su5dC1tvUan6_m.json,2018-06-05T01:30:10Z,soundcloud:system-playlists:track-stations:453875256,track-stations:453875256,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjM4Mzc3MGExLWU3MTQtNGQyMS05NjM0LTNjZjk2YmZjMzQ1NiIsImlhdCI6MTYzNDgyODA3MH0.onTKcNPBVxAHK3hZgZ0i_KEET0zja0fuS4LMbPjV5aA,NOT_APPLICABLE,ALLOW
,True,32,2021-08-07T12:39:16Z,"Có những bài hát khiến tôi phải dừng lại mất một lúc, để tự hỏi lại chính bản thân mình.
Cảm ơn anh Kiên đã cho em được soạn nhạc lại cho bài hát này, kể từ ngày đó đây vẫn luôn là một trong những bài hát hay nhất.
--------------------------------------------------------------
Original by Trinh Trung Kien - ""Nghe nhạc anh mỗi khi buồn""
Rearranged and performed by Hai Sam 
Photo by Duc Viet
--------------------------------------------------------------
Youtube: https://youtu.be/nOhJPGWnWbA",False,0,172225,172225,all,Indie,False,1101870271,track,,2021-10-05T01:49:38Z,all-rights-reserved,1169.0,va-con-mua-den-anh-ngoi-ma-long-dang-cay-choi-dan-mot-bai-rat-hay,https://soundcloud.com/hisam1207/va-con-mua-den-anh-ngoi-ma-long-dang-cay-choi-dan-mot-bai-rat-hay,36716,True,,,,89,,public,finished,True,hisam haisam kien,"và cơn mưa đến, anh ngồi mà lòng đắng cay, chơi đàn một bài rất hay..",single-track,https://api.soundcloud.com/tracks/1101870271,soundcloud:tracks:1101870271,220514264,,https://wave.sndcdn.com/8891f4wHdJdW_m.json,2021-08-07T12:39:16Z,soundcloud:system-playlists:track-stations:1101870271,track-stations:1101870271,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6ImNjMTA4MzljLTMwYzUtNDlmYi05OWYyLTdkYTRlMmRjYzNjYyIsImlhdCI6MTYzNDgyODA3MH0.6gFcLEEXg4_Vi_3eG41NvqMAIX8e_cLzWGwgVpLwDZA,NOT_APPLICABLE,ALLOW
,True,5,2020-09-28T00:53:53Z,,False,0,354116,354116,all,,False,900715090,track,,2020-09-28T15:05:47Z,all-rights-reserved,174.0,b-ng-hoa-p-nh-t-qu-n-a-p-nguy,https://soundcloud.com/khanh-nam-487276048/b-ng-hoa-p-nh-t-qu-n-a-p-nguy,17283,True,,,,7,,public,finished,True,,Bông hoa đẹp nhất - Quân A.P ( nguyên. cover ).mp3,single-track,https://api.soundcloud.com/tracks/900715090,soundcloud:tracks:900715090,816469858,,https://wave.sndcdn.com/oMEyP95Bk967_m.json,2020-09-28T00:53:53Z,soundcloud:system-playlists:track-stations:900715090,track-stations:900715090,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6ImZkNzQwYjA5LTZhYzMtNGNjMC1iZDE0LTg2YmZmNzQ2MzY3YiIsImlhdCI6MTYzNDgyODA3MH0._UNL_6DggU82WH7SoVMTSuFPkx13hp1-_gFSGG_F9zI,NOT_APPLICABLE,ALLOW
,True,316,2021-07-17T16:55:09Z,,False,0,107050,107050,all,,False,1089363859,track,,2021-10-11T06:00:46Z,all-rights-reserved,19967.0,h-nh-ph-c-m-i-s-n-t-ng-mtp,https://soundcloud.com/l_iiam/h-nh-ph-c-m-i-s-n-t-ng-mtp,2322531,True,,,,727,,public,finished,True,,Hạnh Phúc Mới | Sơn Tùng MTP,single-track,https://api.soundcloud.com/tracks/1089363859,soundcloud:tracks:1089363859,928111009,,https://wave.sndcdn.com/NbK43hdRPpe6_m.json,2021-07-17T16:55:09Z,soundcloud:system-playlists:track-stations:1089363859,track-stations:1089363859,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjI3Y2NiNTkxLTRiYzktNGJkZi04YjU1LTU5OTQ2MTdhMDQzMCIsImlhdCI6MTYzNDgyODA3MX0.rsJK1l3pc9zAW90bUwlk7VoOuXqulVuFxtBiyxcvYJ0,NOT_APPLICABLE,ALLOW
,True,31,2019-01-10T16:27:45Z,,False,0,302578,302578,all,,False,556917372,track,,2020-11-13T10:17:26Z,all-rights-reserved,6187.0,thembaonhieulau,https://soundcloud.com/datgofficial/thembaonhieulau,919907,True,,,,268,,public,finished,True,"""Thêm Bao Nhiêu Lâu"" ""Đạt G"" ""Them Bao Nhieu Lau"" ""Dat G""",Thêm Bao Nhiêu Lâu - Đạt G,single-track,https://api.soundcloud.com/tracks/556917372,soundcloud:tracks:556917372,339187783,,https://wave.sndcdn.com/iHPVYOrJBSAK_m.json,2019-01-10T16:27:45Z,soundcloud:system-playlists:track-stations:556917372,track-stations:556917372,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6ImU0MTJlMTMyLTgwN2QtNDQyOS05NzIxLWVmZTQzZTM3ZGJmOCIsImlhdCI6MTYzNDgyODA3MX0.Jtg0V3qVBYANufInn8ZEj2OMf28oBKRv82HtSlkiGgU,NOT_APPLICABLE,ALLOW
,True,1107,2019-10-25T04:48:16Z,,False,0,205009,205009,all,,False,701416732,track,,2021-10-10T19:40:49Z,all-rights-reserved,36172.0,tuong-tu-clow-x-flepy-ft-darkc,https://soundcloud.com/darkclowdayy/tuong-tu-clow-x-flepy-ft-darkc,3709915,True,,,,1083,,public,finished,True,,Tương tư - Clow x Flepy (ft. DarkC),single-track,https://api.soundcloud.com/tracks/701416732,soundcloud:tracks:701416732,569821512,,https://wave.sndcdn.com/gnV2TUJ5kmK3_m.json,2019-10-26T14:04:18Z,soundcloud:system-playlists:track-stations:701416732,track-stations:701416732,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjcwOWU3ZmNkLTgzYzQtNDJmYi1iNDk3LTAxNzJmYzAzY2I5MyIsImlhdCI6MTYzNDgyODA3Mn0.kuKX9iDIA-_jGanh0JmOu1w025Ky-R5X5Jvwp1XbPxE,NOT_APPLICABLE,ALLOW
,True,72,2020-07-01T08:43:16Z,All credit to Nguyên,True,7,160235,160235,all,,True,850114072,track,,2021-10-13T14:42:52Z,all-rights-reserved,3069.0,dung-vi-anh-ma-khoc-quang-hung-masterd-nguyen-cover,https://soundcloud.com/mickeyxxxminnie/dung-vi-anh-ma-khoc-quang-hung-masterd-nguyen-cover,585713,True,,,,79,,public,finished,True,"Nguyên ""Đừng vì anh mà khóc""",Đừng Vì Anh Mà Khóc - Quang Hùng MasterD ( Nguyên. Cover ),single-track,https://api.soundcloud.com/tracks/850114072,soundcloud:tracks:850114072,233983367,,https://wave.sndcdn.com/CXGXveYqsIR5_m.json,2020-07-01T08:43:16Z,soundcloud:system-playlists:track-stations:850114072,track-stations:850114072,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjAzNWYxODc2LThhYzAtNGY4OC1iOGRmLTRkMGViYWQ2MDY5ZSIsImlhdCI6MTYzNDgyODA3Mn0.lJeZhLH-fnieKMXFE4vJX9fyIhXXcF_wW0eU2xuiWDg,NOT_APPLICABLE,ALLOW
